irrelevant label,English (US)
SEARCH_FULL_NAME,First Name or Last Name
SEARCH_BY_NAME,First Name or Last Name
OVERVIEW,Overview
USAGES,Usages
CLOSE,Close
KEYWORDS,Keywords
KEYWORDS_PLACEHOLDER,Enter keywords for {{title}}
ARCHIVE,Archive
UNARCHIVE,Unarchive
LAST_UPDATED,Updated
LAST_UPDATED_BY,Updated by
CREATED,Created
SETTINGS_FOR,Preferences for
ENABLE_LINE_WRAP,Enable line wrap
ENABLE_LINE_WRAP_SUBTEXT,"Wrap long lines in HTML, JavaScript, and CSS editors"
USER_PREFERENCES_SAVED,Preferences saved
AssetLinked,Asset-Linked
Unlinked,Unlinked
Basic,Basic
DropLowest,Drop Lowest Grade
MORE,More
MORE_OPTIONS,More options
ENTER_TITLE,Enter a title
ASSET_CONNECTIONS_HEADER,Competency Associations
CONNECTION_TYPE,Verb
KEYWORDS_LABEL,Keywords
MATCHES_LABEL,Matches
NO_TITLE,(No Title)
NO_CONTENT_EXISTS,No Content
SUBTITLE,Subtitle
NO_CONNECTIONS_EXIST,No competency associations have been set.
SELECT_COMPETENCY_TO_ALIGN,Select competency to align...
Align,Align
,
GRADEBOOK_LINK_TITLE,Gradebook
,
GRADEBOOK_CATEGORIES_TITLE,Gradebook Categories
GRADEBOOK_CATEGORY_LABEL,Category
GRADEBOOK_CATEGORY_TITLE,Category
GRADEBOOK_CATEGORY_WEIGHT,Weight
GRADEBOOK_CATEGORY_ASSIGNMENTS,Activities
GRADEBOOK_CATEGORY_ADD_PLACEHOLDER,Add category...
GRADEBOOK_UNCATEGORIZED,Uncategorized
GRADEBOOK_CATEGORY_WARNING,(%{count} for credit)
,
GRADEBOOK_PAGE_NO_CATEGORIES,No ``GRADEBOOK_CATEGORIES_TITLE``
GRADEBOOK_PAGE_SETUP_CATEGORIES,Set up now.
,
GRADEBOOK_ASSIGNMENTS_TITLE,Gradable Activities
GRADEBOOK_ASSIGNMENT_TITLE,Activity
GRADEBOOK_ASSIGNMENT_FOR_CREDIT,Credit
GRADEBOOK_ASSIGNMENT_POINTS,Points
GRADEBOOK_ASSIGNMENT_CATEGORY,Category
,
GRADEBOOK_FILTER_CREDIT_TYPE,Type
GRADEBOOK_FILTER_ANY_CREDIT,Any Credit
GRADEBOOK_FILTER_FOR_CREDIT,For Credit
GRADEBOOK_FILTER_NO_CREDIT,Not for Credit
,
GRADEBOOK_FILTER_CATEGORY_TYPE,Category
GRADEBOOK_FILTER_ANY_CATEGORY,Any Category
GRADEBOOK_FILTER_UNCATEGORIZED,``GRADEBOOK_UNCATEGORIZED``
,
GRADEBOOK_FILTER_NAME,Activity name...
,
GRADEBOOK_STRUCTURE_TITLE,Gradebook Structure
GRADEBOOK_STRUCTURE_POINTS,"%{points} points"
GRADEBOOK_STRUCTURE_RUBRIC_POINTS,"%{rubricPoints} rubric points"
GRADEBOOK_STRUCTURE_PERCENT_OF_OVERALL,"%{percent} of overall grade"
GRADEBOOK_STRUCTURE_PERCENT_OF_CATEGORY,"%{percent} of category grade"
GRADEBOOK_STRUCTURE_NO_ASSIGNMENTS,No activities
,
gradebookCategory.1,Gradebook Category
,
TEXT_INPUT_REQUIRED,This field is required.
TITLE_FIELD_REQUIRED,Title field is required
TAB_CHOICE,Open in new tab/window (default)
EMBED_CHOICE,Embed (iframe)
RESUSE_RATE_BY_ENVIRONMENT,Content Reuse Breakdown
CONTENT_TYPES_BY_ENVIRONMENT,Content Type Breakdown
MOST_RECENT_CONTENT,Recently Changed
MOST_USED_CONTENT,Most Reused Content
LAST_EDITED,Recently Edited
KEY_COUNTS,Key Content Type Count
,
ASSET_TYPE_CHECKBOXES_ALL_NONE,All / None
DIALOG_CONFIRM,OK
DIALOG_CANCEL,Cancel
MEDIA_FEEDBACK_ONGOING_FEEDBACK,If you proceed the {{ type }} file you created will be cleared and will no longer be available to upload or submit. If you would like to keep the {{ type }} file please click Cancel and accept the file. If not press OK to proceed.
MEDIA_FEEDBACK_UPLOAD_FILE,Upload File
MEDIA_FEEDBACK_RECORD_AUDIO,Record Audio
MEDIA_FEEDBACK_NO_AUDIO_SUPPORT,Audio not supported
MEDIA_FEEDBACK_NO_AUDIO_SUPPORT_DETAIL,Audio not supported in this browser
,
OPEN_IN,Open In
UPLOAD_SUCCESSFUL,Upload Successful

CONTENT_REPOSITORY_TITLE,Search
,
NOTIFICATIONS_EMAIL_SUBJECT_casAvailabilityNotification,{course.name} - Content Now Available
NOTIFICATIONS_EMAIL_BODY_casAvailabilityNotification_html,{notification.name} is now available.
ALERTS_HEADER_casAvailabilityNotification,Content Now Available
ALERTS_BODY_casAvailabilityNotification,{{ notification.name }} is now available. Get started now!
NOTIFICATIONS_HEADER_casAvailabilityNotification,Content Now Available
NOTIFICATIONS_BODY_casAvailabilityNotification,{{ name }} is now available. Get started now!
,
EXCHANGE_DESCRIPTION,Description
EXCHANGE_DATE,Date
EXCHANGE_USER,User
EXCHANGE_STATUS,Status
EXCHANGE_REPORT,Report
EXCHANGE_DOWNLOAD,Download
EXCHANGE_PREVIEW,Preview
EXCHANGE_LOADING_REQUESTS,Loading
EXCHANGE_NO_REQUESTS,No Requests
EXCHANGE_SHOW_PAGE,Show Most Recent:
EXPORT_HEADER,Export Content
EXPORT_REQUESTS,Recent Exports
EXPORT_FIND,Find Content to Export
EXPORT_FIND_HELPER,Click on Find and select content to export.
EXPORT,Export
EXPORT_DOWNLOAD,Download
EXPORT_AGAIN,Back to Export
IMPORT_HEADER,Import Content
IMPORT_PACKAGE,Import Package
IMPORT_DESCRIPTION,Description
IMPORT,Import
IMPORT_AGAIN,Back to Import
IMPORT_REQUESTS,Recent Imports
IMPORTED_ROOTS,Imported
FULL_SCREEN,View Full Screen
EMBEDDED,Exit Full Screen
EXPAND_EMBED,Expand embeddable content
COLLAPSE_EMBED,Collapse embeddable content
ADD_EMBEDDABLE,Add embeddable content
,
RELATIONSHIP_INFO_RELATIONSHIPS_LABEL,Relationships
RELATIONSHIP_INFO_PARENTS_LABEL,Used By
CREATE_ASSET_MODAL_HEADER,Add
CREATE_ASSET_MODAL_HEADER_WITH_TYPE,Add %{typeId}
REMOVE_ASSET,Remove {{type}}
REMOVE_ASSET_REACT,Remove %{type} at index %{index}
REMOVE_ASSETS,Remove 1 item||||Remove %{smart_count} items
,
COPY_AND_INSERT,Copy and Insert
COPY_PROGRESS,Copy Progress
COPY_AND_INSERT_DESCRIPTION,Make a copy of %{typeId} %{titleOfOriginal} and add it to the playlist.
COPY_DESCRIPTION,Make a copy of %{typeId} %{titleOfOriginal}. The copy can be found in the Content Repository and by using the Find button.
COPY_IN_PROGRESS,Please do not navigate away while the copy is in progress.
,
ERROR_LOADING_ERROR_MESSAGE,Error loading
,
,
,
UNITS_OF_UNITS,{{portion}} of {{total}}
TIME_DURATION,Duration: {{duration}}
,
ASSESSMENT_SETTINGS,Settings
ASSESSMENT_INSTRUCTIONS_HEADER,Instructions
GRADING_ASSIGNMENT_DUEDATE_TITLE,Learner due date
EMBEDDABLE_CONTENT_TITLE,Add Embedded Content
ASSESSMENT_INSTRUCTIONS,Instructions
ENTRY_POINT,Entry Point
LOADING_QUIZ_RESULTS,Loading...
SORT_ASSIGNMENT_DUEDATE_ASC,Ascending Due Date
GRADING_ASSIGNMENT_EMPTY_QUEUE,You are all caught up! There are currently no assignments to grade.
,
NO_RUBRIC_AUTHORED,Not set
,
WEB_FILE_URL,Current reference
WEB_FILE_URL_REPLACE_LABEL,Replace existing reference with
WEB_FILE_URL_INVALID,Please refer to a valid .js or .css file
WEB_FILE_URL_REPLACE_BUTTON,Replace
,
ESSAY_QUESITON_TEXT,Question Prompt
POINTS,Points
poolAssessment.1,Pool Assessment
poolAssessment.1-plural,Pool Assessments
INVALID_NUMBER_OF_QUESTIONS,Not Enough Questions in Pool
GRADEBOOK_HAS_BEEN_UPDATED,The gradebook has been updated.
,
SEARCH_NO_RESULTS,No Matches Found
firstAttemptScore,First Attempt Score
mostRecentAttemptScore,Most Recent Attempt Score
highestScore,Highest Score
averageScore,Average Score
fullCreditOnAnyCompletion,Full Credit On Any Completion
,
RUBRIC_SECTION_FEEDBACK_SHOW,View Instructor Feedback
RUBRIC_SECTION_FEEDBACK_HIDE,Hide Instructor Feedback
,
,
,
RUBRIC_SECTION_POINTS,( {{points}} points )
RUBRIC_MANUAL_GRADE_PLACEHOLDER,Enter a score between 0 and {{points}}.
NUMBER_OF_QUESTION_TO_DISPLAY,Enter the number of questions to display to learners. They will be randomly selected from the total pool of questions on this assessment.
USE_ALL_QUESTIONS,Use All Questions
ALL,All
ASSET_HEADER_INPUT_PLACEHOLDER,Enter {{type}} {{field}}
ASSET_HEADER_INPUT_PLACEHOLDER_REACT,Enter %{type} %{field}
,
DUE_DATE_TIME,Due {{ time | formatMoment:'time' }}
LOADING,Loading
,
ASSET_DURATION,Duration
ASSET_DURATION_HELP_TEXT,Time in minutes
ASSET_DURATION_ERROR,Duration must be greater than 0.
ASSET_DURATION_IN_HOURS,Duration (hours)
ASSET_DURATION_IN_HOURS_HELP_TEXT,Time in hours
ASSET_DURATION_HOURS_EXTRA_HELP,"Hours, or hours and minutes; e.g. 1, 1.5h, 90m, 1h 30m."
ASSET_OFFSET_ERROR,Offset is invalid.
CHILD_AGGREGATE_DURATION_ALERT,Child content has a cumulative duration of %{duration}.
IMAGE_ASSET_LABEL,Image
UPLOAD_NEW_IMAGE,Upload New Image
IMAGE_CAPTION,Caption
MAX_ATTEMPTS,Max Attempts
NUMBER_OF_ATTEMPTS,Enter number
UNLIMITED_ATTEMPTS,Unlimited
SCORING_OPTION,Scoring Options
DAY_OFFSET,Day
,
DATES,Dates
DEFAULTS,Defaults
DROPBOX,Vault
SEARCH_GATE_DATES_HELP,Search by Title (including Titles in an item's breadcrumb path)
COURSE_GATED_ITEMS,Gated Content
COURSE_GATED_ITEMS_HELP,Available Date Offsets can be set at the module level; gradable content within a module inherit the module's Available Date Offset.
OPEN_GATE_DATE,Available Date Offset
OPEN_GATE_DATE_HELP,"This is the number of days from the course's start date. A ""0"" equals the course's start date. The default time for authored available dates is 12 midnight {{timeZone}}."
DUE_DATE,Due Date Offset
DUE_DATE_HELP,This is the number of days from the module's available date. The default time for authored due dates is 11:59 pm {{timeZone}}.
,
CREATE_ASSET_FORM_TITLE_PLACEHOLDER,Enter a title
CREATE_ASSET_FORM_QUESTION_TEXT_PLACEHOLDER,Enter question text
QUESTION_TEXT,Question text
UPLOAD_NEW_PDF,Add or Replace PDF,
UPLOAD_NEW, Upload New,
pdf.1,PDF File
VIEW_PDF,View PDF
,
assessments_and_questions,Assessments and Questions
learningAsset,Learning Asset
learningAsset-plural,Learning Assets
learningContent,Learning Content
competency,Competency
competency-plural,Competencies
resource-plural,Resources
resources,Activity Resources
REQUIRED_FIELD,This field is required.
MAX_LENGTH_EXCEEDED,is the maximum length for this field.
FILE_NAME,Filename
VIDEO_ASSET_LABEL,Video File
UPLOAD_NEW_AUDIO,Add or Replace File
AUDIO_ASSET_LABEL,Audio File
INSTRUCTOR_ASSIGNMENTS,Assignments
INSTRUCTOR_ASSIGNMENTS_OVERVIEW,Submissions
,
GATING_TIME_LOCK_DATE,Date Available
GATING_TIME_LOCK_DATE_MESSAGE,Set this item to become available on {{ time | formatMoment:'time' }}
essayQuestion.1_DESCRIPTION,Submission-based prompts that can optionally include a rubric for scoring
fillInTheBlankQuestion.1_DESCRIPTION,Use any number of blanks.
likertScaleQuestion.1_DESCRIPTION,For responses on a five-point Likert scale.
matchingQuestion.1_DESCRIPTION,Include any number of matches between two columns.
multipleChoiceQuestion.1_DESCRIPTION,Include any number of choices with one correct answer.
multipleSelectQuestion.1_DESCRIPTION,Include any number of choices with multiple correct answers.
orderingQuestion.1_DESCRIPTION,Include any number of list items to be ordered.
ratingScaleQuestion.1_DESCRIPTION, For responses on a 1 to N scale.
binDropQuestion.1_DESCRIPTION,Drag and drop list items (and potential distractors) into categories.
surveyEssayQuestion.1_DESCRIPTION,Submission-based prompt.
surveyChoiceQuestion.1_DESCRIPTION,Include any number of choices with one correct answer.
trueFalseQuestion.1_DESCRIPTION,Select either True or False based on the prompt.
poolAssessment.1_DESCRIPTION,Select and randomize a subset of the total number of questions.
assessment.1,Assessment
assessment.1-plural,Assessments
assessment.1_DESCRIPTION,Select and deliver all questions associated to the assessment.
checkpoint.1,Checkpoint
checkpoint.1-plural,Checkpoints
checkpoint.1_DESCRIPTION,Select and deliver all questions associated to the checkpoint.
courseLink.1,Course Link
courseLink.1-plural,Course Links
discussion.1_DESCRIPTION,Moderated discussions that allow learners to interact with each other and instructors
fileBundle.1_DESCRIPTION,Self-contained zip sites that can be uploaded
image.1_DESCRIPTION,"Resources for HTML Page assets (GIF, JPG, PNG)"
webDependency.1_DESCRIPTION,Packaged stylesheets and JavaScript files that can be referenced by HTML Page assets
js.1_DESCRIPTION,Custom JavaScript elements that can be reused and included in web package assets
css.1_DESCRIPTION,Custom stylesheets that can be reused and included in web package assets
html.1_DESCRIPTION,Custom HTML files that support file dependencies and resources like multimedia
scorm.1_DESCRIPTION,Activity that uses the SCORM standard,
audio.1_DESCRIPTION,"Resources for HTML Page assets (MP3, WAV)"
video.1_DESCRIPTION,"Resources for HTML Page assets (MP4, WEBM)"
pdf.1_DESCRIPTION,Resources for HTML Page assets (PDF)
assignment.1_DESCRIPTION,"Submission-based, standalone assignment that optionally includes a rubric for scoring"
gradablePlaylistIntroduction_DESCRIPTION,Introductory learning material within a gradable playlist
gradablePlaylistConclusion_DESCRIPTION,Concluding learning material within a gradable playlist
course.1_DESCRIPTION,Courses you create in the program design environment serve as a blueprint or template that can be used to create one or more sections that instructors and learners will access. Each course can contain multiple modules.
module.1_DESCRIPTION,"Modules are components of a course that typically focus on specific skills, competencies or learning objectives. Modules can be further broken down  into lessons. They can also contain individual learning activities and assessments."
lesson.1_DESCRIPTION,Lessons are a more granular unit of content within a given module. They contain individual learning activities and/or assessments.
playlist.gradablePlaylist_DESCRIPTION,A self-contained learning path that contains an assessment and is graded
root.1_DESCRIPTION,An offering that is associated to one or more competency sets
resource.1_DESCRIPTION,Basic unit of instruction
rubric.1.1_DESCRIPTION,Expectations for grading submission-based assignments broken down by criteria
diagnostic.1_DESCRIPTION,Use to gauge learner's strengths and weaknesses at the start of a lesson
lti.1_DESCRIPTION,An activity or assessment based on a third-party LTI tool. You can configure LTI tools from the Administration page.
observationAssessment.1_DESCRIPTION,An observation-based assessment that optionally includes a rubric for scoring

qtiQuestionImport,QTI Question Import
qtiQuestionImport_DESCRIPTION,A collection of QTI questions to upload to an existing ``assessment.1``.
,
CONFIRM_REMOVE_MODAL.HEADER,Confirm Remove
CONFIRM_REMOVE_MODAL.BODY,Are you sure you want to remove %{targetType} '%{targetTitle}' from %{sourceType} '%{sourceTitle}'?
CONFIRM_REMOVE_MULTIPLE_MODAL.BODY,Are you sure you want to remove %{smart_count} items from %{sourceType} '%{sourceTitle}'?
CONFIRM_REMOVE_MODAL.SIMPLE_BODY,Are you sure you want to remove %{targetTitle}?
CONFIRM_REMOVE_MODAL.COMPETENCY_BODY,"Are you sure you want to remove competency %{competencyTitle}?",
CONFIRM_REMOVE_MODAL.CHILD_COMPETENCIES,one child competency||||%{smart_count} child competencies,
CONFIRM_REMOVE_MODAL.END,"&nbsp;will be deleted as well.",
TYPE_FROM_TYPE,{{childType}} {{child}} from {{parentType}} {{parent}}
REMOVE,Remove
EXPAND_ALL,Expand All
COLLAPSE_ALL,Collapse All
LIST_VIEW,List View
DETAILS_VIEW,Details View
,
competencySet.1,Competency Set
competencySet.1_DESCRIPTION,Manage and organize competencies into sets which can be associated to projects
SETS,Competency Sets
COMPETENCY_NAME,Title
COMPETENCY_STATEMENT,Statement
COMPETENCY_KEYWORDS,Keywords
LAST_SAVED,Last Saved Today at
level1Competency.1,Competency
level1Competency.1-plural,Competencies
level1Competency,Competency
level1Competency-plural,Competencies
level2Competency.1,Sub-Competency
level3Competency.1,Sub-Sub-Competency
COMPETENCY,Competency
,
assesses_INVERTED,Assessed By
teaches_INVERTED,Taught By
,
UNTITLED_COMPETENCY_SET,Untitled Competency Set
UNTITLED_COMPETENCY,Enter Competency Name
REMEMBER_TO_SAVE,Remember to save changes
ADD_SIBLING_COMPETENCY,Add Sibling
ADD_CHILD_COMPETENCY,Add Child
,
COURSE_CREATE_DATE,Create Date
ACTIONS,Actions
REQUEST_TYPE,Type
CREATED_BY,Created By
REQUEST_REPORT,Report
DEPLOY,New Course
UPDATE,Updated Course
FINISHED,Finished
INSERT,Insert
NEXT,Next
CREATING,Creating
AUDIO,Audio
VIDEO,Video
,
DISCUSSION_POST_NOT_PINNED,Pin Post
DISCUSSION_POST_PINNED,Post Pinned
DISCUSSION_POST_NOT_BOOKMARKED,Bookmark Post
DISCUSSION_POST_BOOKMARKED,Post Bookmarked
,
rubricCriterion.1,Rubric Criterion
RUBRIC_CRITERION_PREVIEW_CRITERION_LABEL,Criterion :
RUBRIC_CRITERION_PREVIEW_RUBRIC_LABEL,Rubric :
,
APP_HEADER_AUTHORING,Authoring
APP_HEADER_ADMIN,Administration
APP_HEADER_COMPETENCIES,Learning Objectives
APP_HEADER_SEND_MESSAGE,Send message
APP_HEADER_GIVE_FEEDBACK,Feedback
APP_HEADER_LOGOUT,Log Out
APP_HEADER_EXIT,Exit
APP_HEADER_COURSES,Courses
APP_HEADER_PROFILE,Profile
APP_HEADER_PREFERENCES,Preferences
,
COURSE_BANNER_COVER_PHOTO,Banner Image (minimum resolution 1024px by 480px)
COURSE_BANNER_WIDTH_TOO_SMALL,Incorrect dimensions. The uploaded image must have a width of at least 1024 pixels.
COURSE_BANNER_HEIGHT_TOO_SMALL,Incorrect dimensions. The uploaded image must have a height of at least 480 pixels.
COURSE_BANNER_NOT_AN_IMAGE,Not an image file.
COURSE_BANNER_ERROR,An error occurred.
CONFIRM_COURSE_BANNER_REMOVE_HEADER,Reset
CONFIRM_COURSE_BANNER_REMOVE_BODY,Are you sure you want to use the default banner image?
CONFIRM_COURSE_BANNER_REMOVE_OK,Reset
,
ASSESSMENT_TYPE,Assessment Type
ASSESSMENT_TYPE_DESCRIPTION,Formative vs. Summative Assessment
ASSESSMENT_TYPE_LABEL,Type
ASSESSMENT_TYPE_FORMATIVE,Formative
ASSESSMENT_TYPE_SUMMATIVE,Summative
ASSESSMENT_TYPE_CHECKPOINT,Checkpoint

ASSESSMENT_TYPE_NO_MASTERY,Diagnostics are not included as part of the competency mastery calculation but do contribute to a learner's progress through his/her learning path.
,
IMAGERY,Course Imagery
,
IN_PROGRESS,In Progress
,
INVALID_DATE,Please select a valid date.
,
USER_MENU,User menu.
DISCUSSION_NAVBAR_TOGGLE,Toggle discussion navigation.
PLAYLIST_NAV_OPEN,Open playlist navigation
PLAYLIST_NAV_CLOSE,Close playlist navigation
,
FEEDBACK_SENT_MESSAGE_TITLE,Thank you for your valuable feedback!
FEEDBACK_SENT_MESSAGE_BODY,Your feedback has been sent to our product team for review.
,
COURSE_MENU_TOGGLE,Toggle course navigation.
PAGE_HEADER_MENU_TOGGLE,Toggle course navigation.
,
videoCaption.1,Video Caption File
videoCaption.1_DESCRIPTION,WebVTT video caption file (.vtt) for captions or subtitles
VIDEO_CAPTION_LANGUAGE,Select Language
UPLOAD_NEW_CAPTION,Upload New Caption File
VIDEO_CAPTION_LABEL,"Label (For example, English)"
UPLOAD_NEW_FILE,Upload New File
CAPTION_LANGUAGE,Select Language
CAPTION_LABEL,"Label (For example, English)"
VIDEO_CAPTION,Upload New File
CREATE_VIDEO_CAPTION_LABEL,Enter a label
VIDEO_CAPTION_LABEL_PLACEDHOLDER,Enter a label
CLOSE_BANNER_TOOLTIP,Dismiss this notification for the rest of your session.
SHOW,Show
HIDE,Hide
,
file.1_DESCRIPTION,File uploads that can be downloaded from the learning path by learners
,
ADD_DATE,Add date
,
EMBED_COPY_SUCCESS,Embed Code Successfully Copied
,
NO_USAGES_INFO,No content is currently being reused.
IMAGE_ASSET_HELP_TEXT,
AUDIO_ASSET_HELP_TEXT,
VIDEO_ASSET_HELP_TEXT,
FILE_UPLOAD_ASSET_HELP_TEXT,
VIDEO_CAPTION_ASSET_HELP_TEXT,
PDF_ASSET_HELP_TEXT,
FILE_INVALID_ERROR,Please use one of the supported file types listed below
,
PAGE_SIZE_SELECT,Display {{size}} per page
,
ASSIGNMENT_OVERVIEW_TITLE,{{ name }} : Submissions
DISCUSSION_OVERVIEW_TITLE,{{ name }} : Posts
AUTHENTIC_ASSESSMENT_OVERVIEW_TITLE,{{ name }} : Authentic Attempts
,
IMPORT_CSV_EMPTY,Your file seems to be empty. Use the Competency Set CSV template to get started.
IMPORT_CSV_MISSING_HEADER,Your file is missing a header row. Use the Competency Set CSV template to get started.
IMPORT_CSV_MISSING_FIELD,Your file is missing a field. Use the Competency Set CSV template to get started.
IMPORT_CSV_INVALID_NUMBER_FIELD,Your file has an unexpected number of fields. Use the Competency Set CSV template to get started.
IMPORT_CSV_INVALID_ASSET_TYPE,"Your file contains types other than Set, Competency, Sub-Competency, and Sub-Sub-Competency."
IMPORT_CSV_DUPLICATE_INDICES,Your file has more than one Competency or Competency Set with the same index.
IMPORT_CSV_MISSING_PARENT,Your file has at least one Competency or Sub-Competency without a parent. All Competencies must be included in a Competency Set.
IMPORT_CSV_REQUIRED_PARENT,"Your file has at least one Competency or Sub-Competency without a parent. Make sure every Competency, Sub-Competency, and Sub-Sub-Competency has a parent index."
IMPORT_CSV_INVALID_RELATIONSHIP,Competencies must have the following hierarchical relationship: Competency Set - Competency - Sub-Competency - Sub-Sub-Competency. Make sure your index values create the correct heriarchy.
CONTAINS,Found
IMPORT_LO_FORMAT,"Courses, and Content"
IMPORT_LO_FORMAT_DESCRIPTION,"Import courses, and content using the Learning Objects format."
IMPORT_COMPETENCY_SETS,Competency Sets
IMPORT_COMPETENCY_SETS_DESCRIPTION,Import Competency Sets and Competencies using a simple CSV format.
COMPETENCY_IMPORT_TEMPLATE_DOWNLOAD,Download Competency Set CSV template
,
LOGIN_TIMED_OUT_TITLE,You've been logged out
LOGIN_TIMED_OUT_MESSAGE,"For security, we have logged you out of the system since you were inactive for {{duration}} minutes."
PREVIOUS_ACTIVITY_BUTTON,Previous activity
NEXT_ACTIVITY_BUTTON,Next activity
,
DISCUSSION_NEW_POSTS,New
DISCUSSION_PREVIEW_POST_COUNT_WITH_NEW,Posts / New
DISCUSSION_POST_NEW_REPLY_COUNT,{{count}} New
,
DISCUSSION_POST_EDIT_FORBIDDEN,You can no longer edit your post.
DISCUSSION_POST_EDIT_FORBIDDEN_EXPLAINATION,"While you were editing your post, your grade for this assignment has been posted by your instructor. Your will not be able to save your edit."
DISCUSSION_POST_EDIT_FORBIDDEN_KEEP_WORK,Keep the editor open so I can copy my edits
DISCUSSION_POST_EDIT_FORBIDDEN_DISCARD_WORK,Close the editor and discard my edits
,
GROUP_CHAT,Group chat
GROUP_CHAT_TITLE,{{name}} group chat
,
USER_CHAT_TITLE,Chat with {{fullName}}
USER_CHAT_USER_OFFLINE,{{fullName}} is currently offline and cannot receive chat messages.
USER_CHAT_SEND_MESSAGE,Send message to {{givenName}}:
USER_CHAT_MESSAGE_SENT,Your message has been sent.
,
CHAT_SENDER_YOU,you:
CHAT_SENDER_THEM,{{name}}:
CHAT_MESSAGE_PLACEHOLDER,Enter a message
CHAT_NOT_WHEN_INVISIBLE,You can only chat with other people when you are visible to them.
NO_CHAT_WHEN_INVISIBLE,You can only chat with other people when you are visible to them.
,
VIEW_ONLINE_USERS,View online users
PRESENCE_ONLINE_USERS,Online Users
PRESENCE_VISIBLE,Visible to others
,
CONFIRM_REUSE_SAVE_CHANGES_HEADER,Save changes
CONFIRM_REUSE_SAVE_CHANGES_BODY,This item is being used in multiple places. Are you sure you want to save these changes?
,
AssessmentCorrectOptionLabel,Show answer on results
AssessmentCorrectOptionDescription,Allow learners to compare actual responses to correct responses
HideCorrectOptions,For correct responses
ShowCorrectOptions,Always
,
APP_HEADER_HOME,Home
COMPETENCIES_TITLE,Objectives
,
ASSET_RELATIONSHIP_EDITOR-CANNOT_ADD_PARENTS_AS_GATES,Cannot add gate to a parent asset.
ASSET_RELATIONSHIP_EDITOR-GATE_UNEXPECTED_ERROR,An unexpected error occurred while creating the gate.
EDITABLE_EDGE_DATA_PROBLEM,There was a problem updating the edge values.
EDITABLE_EDGE_DATA_INVALID_VALUE,The edge value is invalid. Please set a valid value.
RELATIONSHIP_INFO_GATES_LABEL,Gated By
,
CONTENT_UNSUPPORTED_FOR_REMEDIATION,Content Unsupported For Remediation
,
SEARCH_PAGE_TITLE,Search Results
SEARCH_PAGE_RESULTS_COUNT,Search Results
COURSE_FILTER_TITLE,Filter by Course
SEARCH_RESULTS_NO_RESULTS,There are no results matching your query.
SEARCH_RESULTS_START_SEARCHING,Please enter a query above to search content available to you.
SEARCH_RESULTS_ERROR,"There is a technical problem performing searches at this time, please try again later."
GLOBAL_SEARCH_PLACEHOLDER,Search...
,
DISCUSSION_BOARD_SEARCH_PLACEHOLDER,Search for posts...
DISCUSSION_THREADS_VIEW,Discussions
,
CONTENT_DESIGNER,Content
,
PREPOSED_ACTIVITIES_COUNT,is 1 activity ||||are %{smart_count} activities
ASSESSMENTS_COUNT,1 assessment||||%{smart_count} assessments
COURSES_COUNT,1 course||||%{smart_count} courses
LOADING_ERROR,There was a problem loading this information. Try refreshing or contacting an administrator.
,
NOTIFICATIONS_HEADER_inappropriatePostNotification,Inappropriate Discussion Post Report
NOTIFICATIONS_BODY_inappropriatePostNotification,"Post in ""{{title}}"" reported as inappropriate by {{senderFullName}} on {{time | formatMoment:""l LT""}}."
NOTIFICATIONS_EMAIL_SUBJECT_inappropriatePostNotification,"{course.name} - Inappropriate Discussion Post Reported in ""{notification.title}"""
NOTIFICATIONS_EMAIL_BODY_inappropriatePostNotification_html,"Post in ""{notification.title}"" reported as inappropriate by {notification.senderFullName}"
ALERTS_HEADER_inappropriatePostNotification,Inappropriate Discussion Post Report
ALERTS_BODY_inappropriatePostNotification,"Post in ""{{notification.title}}"" reported as inappropriate by {{notification.senderFullName}} on {{time | formatMoment:""l LT""}}."

,
BASIC_BLOCK,Basic Block
MULTIMEDIA_BLOCK,Multimedia Block
PDF,PDF
IMAGE_BLOCK,Image Block
ALIGNED_IMAGE_AND_TEXT,Text Wrap
CUSTOM_BLOCK,Custom Block
INVALID_FILE_EXTENSION,Invalid file extension
INVALID_FILE_SIZE,File size above %{maxFileSize} MB limit
SETTINGS,Settings
DURATION_MINUTES,minutes
ADD_COMPETENCY,Add competency
TEXT,Text
QUOTE,Quote
CALLOUT,Callout
TABLE,Table
DEFINITION,Terms
LIST,List
GALLERY,Gallery
CODE,Code
reveal,Reveal
HORIZONTAL_RULE,Break
TOGGLE,Show / Hide
IMAGE_BORDER_YES,Yes
IMAGE_BORDER_NO,No
ADD_A_BLOCK,Add a block
LAST_EDIT_BY,Last edit by:
,
SEARCH_RESULTS_PAGINATION_HEADER,%{start} - %{end} of %{total}
,
,
BIN_DROP_MISSING_ITEMS,Missing items
,
ADD_ITEM_IMAGE_GALLERY,Add image to gallery
BROWSER_NOT_SUPPORTED,Browser not supported
,
LICENSE,License
CLEAR_LICENSE,Clear License
,
PROGRESS_DOWNLOAD,Download CSV file
,
AUTHOR,Author
ATTRIBUTION,Attribution
,
ALIGNMENT,Alignment
,
CONTENT_DESIGNER_GET_STARTED,Get started by adding a block!
ACTUAL_IMAGE_SIZE,Actual size
BLOCK_SETTINGS,Settings
IMAGE_ALTTEXT,Image alt text
IMPORT_INCORRECT_FILE_TYPE,We're sorry. This file type is not currently supported.
,
REVEAL,Reveal
EMBED,Embed
SEARCH_BLOCKS,Search blocks...
